LABEL,CONNECTIONS,TYPE,HEMI,CLASSIFICATION_NAME,PAIR,SIZE
185,"R_Frontal - Brainstem
R_Parietal - Brainstem
R_Subcortical - Brainstem",P-P-P,R,P-P-P-FrontalBrainstem-ParietalBrainstem-SubcorticalBrainstem-R,151,3
186,"L_Occipital - R_Parietal
L_Occipital - R_Occipital
L_Occipital - R_Temporal",C-C-C,C,C-C-C-OccipitalParietal-OccipitalOccipital-OccipitalTemporal-C,0,124
187,"L_Parietal - L_Subcortical",P,L,P-ParietalSubcortical-L,192,120
188,"L_Cerebellum - R_Cerebellum
R_Frontal - Brainstem
R_Parietal - Brainstem",Cb-P-P,RC,Cb-P-P-CerebellumCerebellum-FrontalBrainstem-ParietalBrainstem-RC,198,167
189,"L_Frontal - R_Frontal
L_Frontal - R_Parietal
L_Frontal - Brainstem",C-C-P,LC,C-C-P-FrontalFrontal-FrontalParietal-FrontalBrainstem-LC,0,282
190,"L_Frontal - L_Cerebellum",NA,L,NA,0,235
191,"L_Frontal - L_Parietal
L_Frontal - R_Parietal",A-C,LC,A-C-FrontalParietal-FrontalParietal-LC,0,167
192,"R_Parietal - R_Subcortical",P,R,P-ParietalSubcortical-R,187,67
193,"L_Frontal - R_Frontal
L_Parietal - R_Frontal
L_Frontal - R_Parietal",C-C-C,C,C-C-C-FrontalFrontal-ParietalFrontal-FrontalParietal-C,0,13
194,"R_Parietal - R_Temporal
R_Occipital - R_Temporal
R_Temporal - R_Cingulate",A-A-A,R,A-A-A-ParietalTemporal-OccipitalTemporal-TemporalCingulate-R,231,59
195,"L_Parietal - R_Parietal
L_Temporal - R_Parietal
L_Parietal - R_Temporal
L_Temporal - R_Temporal",C-C-C-C,C,C-C-C-C-ParietalParietal-TemporalParietal-ParietalTemporal-TemporalTemporal-C,0,34
196,"L_Subcortical - Brainstem",P,L,P-SubcorticalBrainstem-L,202,192
197,"L_Parietal - Brainstem
L_Occipital - Brainstem
L_Temporal - Brainstem",P-P-P,L,P-P-P-ParietalBrainstem-OccipitalBrainstem-TemporalBrainstem-L,233,361
198,"L_Cerebellum - R_Cerebellum
L_Frontal - Brainstem
L_Parietal - Brainstem",Cb-P-P,LC,Cb-P-P-CerebellumCerebellum-FrontalBrainstem-ParietalBrainstem-LC,188,174
199,"L_Frontal - L_Temporal
L_Parietal - L_Temporal
L_Temporal - L_Cingulate",A-A-A,L,A-A-A-FrontalTemporal-ParietalTemporal-TemporalCingulate-L,179,819
